date,ticker,TSLA_close,TSLA_close_shifted_by_1,stocknews_sentiment,vader_sentiment,textblob_lemmatized_sentiments,textblob_stemmed_sentiments
2019-03-06,TSLA,276.239990234375,276.5400085449219,0.0,0.9726,0.06936363636363636,0.04156565656565656
2019-03-08,TSLA,284.1400146484375,276.5899963378906,1.0,0.9928,0.05679824561403509,0.09704301075268816
2019-03-11,TSLA,290.9200134277344,284.1400146484375,-1.0,-0.9235,0.06329155340783246,0.08727002164502162
2019-03-12,TSLA,283.3599853515625,290.9200134277344,-1.0,-0.938,0.022327036389536387,-0.03252525252525253
2019-03-13,TSLA,288.9599914550781,283.3599853515625,1.0,-0.5849,0.07858901515151515,0.042094330400782
2019-03-14,TSLA,289.9599914550781,288.9599914550781,0.0,0.9192,0.0988783943329398,0.09673831915211227
2019-03-15,TSLA,275.42999267578125,289.9599914550781,-1.0,0.09405000000000002,-0.017857692593004716,0.02844155844155844
2019-03-18,TSLA,269.489990234375,275.42999267578125,1.0,0.9823,0.08850422832980974,0.06049955335669624
2019-04-01,TSLA,289.17999267578125,279.8599853515625,1.0,0.9869,0.1628787878787879,0.07752525252525252
2019-04-02,TSLA,285.8800048828125,289.17999267578125,-0.5,0.19805,0.0038169089950029766,-0.04543429660617162
2019-04-03,TSLA,291.80999755859375,285.8800048828125,1.0,0.9826,0.13753551136363637,0.06070075757575759
2019-04-04,TSLA,267.7799987792969,291.80999755859375,-0.3333333333333333,-0.06888333333333335,0.050350896707256364,0.08004429405471071
2019-04-08,TSLA,273.20001220703125,274.9599914550781,0.0,0.9627,0.042436704709431984,0.005013708513708511
2019-04-09,TSLA,272.30999755859375,273.20001220703125,-1.0,0.9913,0.038211382113821135,0.022395833333333327
2019-04-10,TSLA,276.05999755859375,272.30999755859375,0.0,0.99385,0.15703282828282833,0.12041890681003584
2019-04-11,TSLA,268.4200134277344,276.05999755859375,-0.6666666666666666,0.47330000000000005,0.041139364662299914,0.050651142611926915
2019-04-16,TSLA,273.3599853515625,266.3800048828125,1.0,0.9918,0.10649350649350647,0.04125874125874126
2019-04-17,TSLA,271.2300109863281,273.3599853515625,-0.5,0.99515,0.11207922202318757,0.055956740836156586
2019-04-18,TSLA,273.260009765625,271.2300109863281,0.0,0.8331999999999999,0.07614560236511457,0.11366666666666667
2019-04-22,TSLA,262.75,273.260009765625,0.5,0.8446,0.13571098616830318,0.12884667415917417
2019-04-23,TSLA,263.8999938964844,262.75,0.5,0.9589,0.07783403765546623,0.10090451388888888
2019-04-24,TSLA,258.6600036621094,263.8999938964844,-0.6666666666666666,0.9645,0.16776509454762578,0.17791002400377398
2019-04-25,TSLA,247.6300048828125,258.6600036621094,-1.0,0.9929,0.0009611035730438713,-0.013566217732884396
2019-04-26,TSLA,235.13999938964844,247.6300048828125,-0.3333333333333333,0.3597333333333333,-0.010100370855087835,-0.005823582141763949
2019-04-29,TSLA,241.47000122070312,235.13999938964844,1.0,0.9748,0.15658533385806114,0.10568722943722944
2019-04-30,TSLA,238.69000244140625,241.47000122070312,-1.0,0.2944,0.1111344537815126,0.19642857142857145
2019-05-02,TSLA,244.10000610351562,234.00999450683594,0.75,0.990175,0.11206554045195335,0.0993215337902838
2019-05-03,TSLA,255.02999877929688,244.10000610351562,0.25,0.9929249999999998,0.10241801254301254,0.07374501564963343
2019-05-06,TSLA,255.33999633789062,255.02999877929688,-1.0,0.6369,0.009722222222222222,-0.013562091503267976
2019-05-07,TSLA,247.05999755859375,255.33999633789062,0.5,0.980575,0.10838264234256084,0.1104632848760041
2019-05-13,TSLA,227.00999450683594,239.52000427246094,-1.0,0.8927,0.015129233511586453,-0.05540633608815426
2019-05-17,TSLA,211.02999877929688,228.3300018310547,-0.6666666666666666,0.2865666666666667,0.03486998750740313,0.1456387505560438
2019-05-20,TSLA,205.36000061035156,211.02999877929688,-1.0,-0.8275,0.05147058823529412,0.05625
2019-05-21,TSLA,205.0800018310547,205.36000061035156,-0.5,0.99395,0.08003404581529582,0.08502791474716608
2019-05-22,TSLA,192.72999572753906,205.0800018310547,-0.5,0.70895,0.08437116093366093,0.15963235294117648
2019-05-23,TSLA,195.49000549316406,192.72999572753906,1.0,0.988,0.1111316287878788,0.08133333333333333
2019-05-24,TSLA,190.6300048828125,195.49000549316406,-1.0,0.8743,0.04051746276322548,0.056406455862977586
2019-05-28,TSLA,188.6999969482422,190.6300048828125,1.0,0.915,0.10461476146043595,0.08788254569504568
2019-05-29,TSLA,189.86000061035156,188.6999969482422,0.0,0.993,0.11396404719184325,0.11569396344396343
2019-06-04,TSLA,193.60000610351562,178.97000122070312,1.0,0.9814,0.16801948051948054,0.11250000000000003
2019-06-06,TSLA,205.9499969482422,196.58999633789062,1.0,0.96685,0.08236786469344609,0.06696532634032634
2019-06-10,TSLA,212.8800048828125,204.5,-0.5,0.92915,-0.01941592261904762,-0.09416841778910744
2019-06-12,TSLA,209.25999450683594,217.10000610351562,1.0,0.97925,0.0671365220145708,0.10143190143190144
2019-06-14,TSLA,214.9199981689453,213.91000366210938,-1.0,0.3509,0.0451087530355823,0.008093483093483095
2019-06-17,TSLA,225.02999877929688,214.9199981689453,0.6666666666666666,0.9830333333333333,0.0905001224554796,0.018867575591713516
2019-06-20,TSLA,219.6199951171875,226.42999267578125,0.0,0.9686,0.06356937627429432,0.06008116392077373
2019-06-21,TSLA,221.86000061035156,219.6199951171875,0.0,0.3746,0.03229640151515152,0.04786742424242425
2019-06-27,TSLA,222.83999633789062,219.27000427246094,-1.0,0.9965,0.005301741908884761,-0.0026419658772599977
2019-06-28,TSLA,223.4600067138672,222.83999633789062,1.0,0.9490000000000001,0.051269936204146715,0.04660858585858585
2019-07-01,TSLA,227.1699981689453,223.4600067138672,1.0,0.9907,0.07095513306853518,0.021601482808379355
2019-07-02,TSLA,224.5500030517578,227.1699981689453,1.0,0.9849333333333332,0.11176406533261372,0.087020202020202
2019-07-03,TSLA,234.89999389648438,224.5500030517578,1.0,0.977425,0.12197903223950084,0.13269739115051615
2019-07-05,TSLA,233.10000610351562,234.89999389648438,-1.0,0.9937,0.04420702179176754,0.04176303854875283
2019-07-09,TSLA,230.05999755859375,230.33999633789062,0.0,0.9759,0.09553803339517626,0.07598011363636363
2019-07-10,TSLA,238.9199981689453,230.05999755859375,1.0,0.9895,0.11775762762020692,0.09830473856209149
2019-07-11,TSLA,238.60000610351562,238.9199981689453,0.0,0.9764,-0.04807900432900435,-0.12259875541125542
2019-07-15,TSLA,253.5,245.0800018310547,0.0,0.9246,0.08594842657342656,0.11223695286195284
2019-07-17,TSLA,254.86000061035156,252.3800048828125,-1.0,0.9939,0.07156242879927092,0.027710233029381956
2019-07-18,TSLA,253.5399932861328,254.86000061035156,0.0,0.9887,0.11256160506160508,0.15082951362363128
2019-07-19,TSLA,258.17999267578125,253.5399932861328,1.0,0.9349,0.1153846153846154,0.04
2019-07-22,TSLA,255.67999267578125,258.17999267578125,0.0,0.9589000000000001,0.045378787878787887,0.015282512626262625
2019-07-23,TSLA,260.1700134277344,255.67999267578125,0.6666666666666666,0.9966666666666667,0.1444523085290131,0.13359232595589873
2019-07-24,TSLA,264.8800048828125,260.1700134277344,0.0,0.9816333333333334,0.0773106818106818,0.021658030359953437
2019-07-25,TSLA,228.82000732421875,264.8800048828125,-0.75,0.613975,0.06429977064194208,0.06099523534375229
2019-07-26,TSLA,228.0399932861328,228.82000732421875,0.0,0.9492,0.12217981703830763,0.082885101010101
2019-07-29,TSLA,235.77000427246094,228.0399932861328,0.0,0.9940000000000001,0.16396103896103895,0.062470862470862476
2019-07-30,TSLA,242.25999450683594,235.77000427246094,-1.0,0.9864,0.062391138273491215,0.03110881542699725
2019-08-02,TSLA,234.33999633789062,233.85000610351562,0.0,0.9844,-0.00996436896436897,-0.09171981721981724
2019-08-06,TSLA,230.75,228.32000732421875,0.0,0.9827,0.09407407407407406,0.044375
2019-08-14,TSLA,219.6199951171875,235.0,-1.0,0.9333,0.1717099567099567,0.05458333333333334
2019-08-21,TSLA,220.8300018310547,225.86000061035156,-1.0,-0.9837,0.012937819756001565,0.060639129389129375
2019-08-22,TSLA,222.14999389648438,220.8300018310547,-1.0,0.9353,0.010669742538163591,0.03183089397375112
2019-08-23,TSLA,211.39999389648438,222.14999389648438,0.0,0.97,0.06336479591836734,0.06404375386518243
2019-08-26,TSLA,215.0,211.39999389648438,-1.0,0.9871,0.1626556662515567,0.13386363636363635
2019-08-27,TSLA,214.0800018310547,215.0,0.0,0.9400333333333334,0.06764449644622808,0.056265491735711166
2019-08-28,TSLA,215.58999633789062,214.0800018310547,0.0,0.9497,0.1259025200989487,0.07711323763955341
2019-08-30,TSLA,225.61000061035156,221.7100067138672,-1.0,0.9836,0.08762115328638925,0.08679861007447215
2019-09-04,TSLA,220.67999267578125,225.00999450683594,1.0,0.0028000000000000247,0.04454084495751161,0.009228699228699223
2019-09-11,TSLA,247.10000610351562,235.5399932861328,1.0,0.9917,0.13986166007905138,0.12852941176470592
2019-09-12,TSLA,245.8699951171875,247.10000610351562,0.0,0.9986,0.1273293650793651,0.0982453292321713
2019-09-18,TSLA,243.49000549316406,244.7899932861328,0.0,0.9854,0.08614718614718612,0.13122854157336913
2019-09-24,TSLA,223.2100067138672,241.22999572753906,-0.6666666666666666,0.1969,0.031181378427591527,0.008785307829425474
2019-09-25,TSLA,228.6999969482422,223.2100067138672,0.3333333333333333,0.9945333333333334,0.1294902341636364,0.09290130734898178
2019-09-26,TSLA,242.55999755859375,228.6999969482422,0.3333333333333333,0.9516666666666667,0.11041104842829463,0.07603653530377667
2019-09-27,TSLA,242.1300048828125,242.55999755859375,0.3333333333333333,0.9916333333333333,0.09388685994408148,0.06564490430417849
2019-10-01,TSLA,244.69000244140625,240.8699951171875,0.0,0.9651,0.060133245935575036,0.06185354203741301
2019-10-02,TSLA,243.1300048828125,244.69000244140625,-0.5,0.97885,0.10536117040027168,0.06822893329204689
2019-10-03,TSLA,233.02999877929688,243.1300048828125,0.16666666666666666,0.9151333333333334,0.08036526169982051,0.09774011509667509
2019-10-04,TSLA,231.42999267578125,233.02999877929688,-0.5,0.9815,0.10097778072267866,0.03727476723012438
2019-10-08,TSLA,240.0500030517578,237.72000122070312,1.0,-0.8081,0.13014030612244898,0.0873015873015873
2019-10-09,TSLA,244.52999877929688,240.0500030517578,0.5,0.9909,0.10607357949696661,0.1061179691421627
2019-10-10,TSLA,244.74000549316406,244.52999877929688,0.0,-0.4479,0.03491014799154335,-0.01461489898989899
2019-10-11,TSLA,247.88999938964844,244.74000549316406,1.0,0.9731666666666667,0.1064218253104199,0.09246049541200459
2019-10-14,TSLA,256.9599914550781,247.88999938964844,1.0,0.9966,0.1589441609977324,0.1902985638699924
2019-10-16,TSLA,259.75,257.8900146484375,-0.5,0.9929,0.07471359423929803,0.05516063514877743
2019-10-18,TSLA,256.95001220703125,261.9700012207031,-0.5,0.99525,0.12964774625958841,0.1094721349675618
2019-10-21,TSLA,253.5,256.95001220703125,1.0,0.992,0.046947235154782316,0.009338687628161313
2019-10-22,TSLA,255.5800018310547,253.5,0.8,0.9892799999999999,0.09760426558102385,0.0809912097162097
2019-10-23,TSLA,254.67999267578125,255.5800018310547,0.6666666666666666,0.9916,0.07231441541482418,0.028874682049285227
2019-10-24,TSLA,299.67999267578125,254.67999267578125,0.5,0.995825,0.13050156907346439,0.1410539669423926
2019-10-25,TSLA,328.1300048828125,299.67999267578125,1.0,0.99605,0.11634389530222863,0.08983112416039246
2019-10-28,TSLA,327.7099914550781,328.1300048828125,0.6666666666666666,0.9831666666666666,0.08771632528724264,0.07240629846816073
2019-10-30,TSLA,315.010009765625,316.2200012207031,0.5,0.9886999999999999,0.08774810742494624,0.0882626282377588
2019-10-31,TSLA,314.9200134277344,315.010009765625,0.6666666666666666,0.9966333333333334,0.06401594461779646,0.07471034087909464
2019-11-01,TSLA,313.30999755859375,314.9200134277344,-0.5,0.9901,0.08587517417062873,0.0681819230511091
2019-11-05,TSLA,317.2200012207031,317.4700012207031,1.0,0.7476,0.0967669115396388,0.05606565656565657
2019-11-08,TSLA,337.1400146484375,335.5400085449219,0.0,0.9744,0.04002089864158829,0.1043859649122807
2019-11-11,TSLA,345.0899963378906,337.1400146484375,0.5,0.995,0.13067603797717436,0.1166193181818182
2019-11-12,TSLA,349.92999267578125,345.0899963378906,1.0,0.9901,0.1782619047619048,0.1430072463768116
2019-11-13,TSLA,346.1099853515625,349.92999267578125,-1.0,0.9944,0.10445381231671558,0.06176359872012045
2019-11-14,TSLA,349.3500061035156,346.1099853515625,0.0,0.9947,0.10347776005670742,0.09144707949055776
2019-11-15,TSLA,352.1700134277344,349.3500061035156,1.0,0.99045,0.18396915584415585,0.09400137741046832
2019-11-20,TSLA,352.2200012207031,359.5199890136719,1.0,0.9984,0.11374608724608727,0.1152788877788878
2019-11-22,TSLA,333.0400085449219,354.8299865722656,-0.25,0.96055,0.09254476422251243,0.05779358391200497
2019-11-25,TSLA,336.3399963378906,333.0400085449219,0.6666666666666666,0.6867,0.20188101551226553,0.14014654276291105
2019-11-26,TSLA,328.9200134277344,336.3399963378906,0.5,0.9648000000000001,0.0706097075743909,0.02621971468511647
2019-11-27,TSLA,331.2900085449219,328.9200134277344,0.0,0.99855,0.14870126004947434,0.09828624426838714
2019-11-29,TSLA,329.94000244140625,331.2900085449219,1.0,0.9911,0.026243386243386242,0.020977011494252875
2019-12-02,TSLA,334.8699951171875,329.94000244140625,-0.5,0.3403,0.13549056895485465,0.16452579365079362
2019-12-24,TSLA,425.25,419.2200012207031,0.5,0.9893000000000001,0.0607416858503815,0.0013860815951725058
2019-12-26,TSLA,430.94000244140625,425.25,0.6666666666666666,0.9976666666666666,0.1369019486949968,0.10398276276126206
2019-12-27,TSLA,430.3800048828125,430.94000244140625,0.5,0.9886,0.14919014708488393,0.08127476689976688
2019-12-30,TSLA,414.70001220703125,430.3800048828125,0.5,0.08450000000000002,0.053467882607588474,0.034773641173641165
2019-12-31,TSLA,418.3299865722656,414.70001220703125,-1.0,0.9109,0.08733323494687133,0.11269283746556474
